date,L3_P[MW],L5_P[MW],L5_P[MW],L6_P[MW],L5_P[MW],L5_P[MW],L5_P[MW],L5_P[MW],L5_P[MW],L5_P[MW],L2_P[MW],L7_P[MW],L5_P[MW],L4_P[MW],L5_P[MW],L5_P[MW],L5_P[MW],L1_P[MW],L5_P[MW],ChargerSim-0.Charger1_0-P[MW],Line_2-3_I[kA],Line_2-4_I[kA],Line_5-7_I[kA],Line_9-T1_I[kA],Line_7-8_I[kA],Line_6-8_I[kA],Line_6-7_I[kA],Line_3-4_I[kA],Line(4)_I[kA],Line_1-3_I[kA],Line_5-6_I[kA],Line_10-T1_I[kA],Line_I[kA],Line_1-2_I[kA]
2024-12-01 00:15:00,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
2024-12-01 00:16:30,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
2024-12-01 00:18:00,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
2024-12-01 00:19:30,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
2024-12-01 00:21:00,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
2024-12-01 00:22:30,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
2024-12-01 00:24:00,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
2024-12-01 00:25:30,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
2024-12-01 00:27:00,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
2024-12-01 00:28:30,30.0,-10.0,0.0,15.0,-90.39326766782168,0.0,0.0,0.0,30.0,10.0,25.0,20.0,19.629999999999995,10.0,20.0,25.0,-5.0,40.0,10.0,-9.63,0.1100387841894385,0.1123913317814177,0.1064362783731762,0.1041475831266066,0.1999619808461905,0.223569721082728,0.0262447550237767,0.1503659970326629,0.3784076078857438,0.2691908584662424,0.0955042001963977,0.4158331491798692,0.094816173228684,0.1611119864440029
